                                                   Tweet  Favorites  Compound  Positive  Neutral  Negative
2347   ASMR | Peeling Stickers off Microphone, Sticky...          0    0.0000     0.000    1.000     0.000
2348   Yes Bubba.  This ASMR video will defiantly hel...          2    0.8020     0.427    0.573     0.000
2349   @infinite_bagel tsudaken tells u to commit cri...          1   -0.0772     0.206    0.561     0.234
2350   okay so..... I'm into ASMR now. like i think i...          9    0.5267     0.306    0.694     0.000
2351   Best asmr. We really relaxed after that. https...          1    0.8268     0.562    0.438     0.000
2352   Do you like it when soap is crushed in your ha...          0   -0.1511     0.128    0.715     0.158
2353   okay but i love her speaking voice so much?? p...          1    0.8996     0.523    0.477     0.000
2354   @busybasmr say no more fam https://t.co/EaelEF...          6   -0.2960     0.000    0.694     0.306
2355   @RaisedByKingsGG There is legit no way u dont ...          1   -0.2960     0.000    0.896     0.104
2356   New Eraudica Exclusive - ASMR Layered Cock Wor...          1    0.2732     0.327    0.531     0.142
2357   asmr idea: antoni from queer eye comes to ur h...          1    0.3182     0.099    0.901     0.000
2358   Me breaking into your house ASMR https://t.co/...          5    0.0000     0.000    1.000     0.000
2359               Good evening  https://t.co/6JlzKHSh4U          0    0.4404     0.592    0.408     0.000
2360   Asmr videos are pretty annoying to me Idk why ...          1   -0.0553     0.211    0.537     0.252
2361   Risa’s thetye to watch xronchy ASMR  videos to...          1    0.2040     0.191    0.687     0.122
2362   Troye Sivan Explores ASMR | W Magazine https:/...          1    0.0000     0.000    1.000     0.000
2363   why did warning play in the middle of my and j...          2    0.0000     0.152    0.696     0.152
2364   Another vid sold! 4K Sloppy Sailor ASMR  POV B...          3    0.0000     0.000    1.000     0.000
2365   Does anyone else watch those asmr soap cutting...          8   -0.4291     0.075    0.686     0.240
2366   tf li and i are doing asmr shit at 11:40pm we’...          1   -0.5574     0.000    0.753     0.247
2367   Omg before Selena became an ASMR artist 😍😍 htt...          1    0.0000     0.000    1.000     0.000
2368   Could listen to this over &amp; over ! 💕 #ASMR...          0    0.0000     0.000    1.000     0.000
2369   my ASMR trigger a lot by watching an implemetn...          1   -0.3875     0.000    0.889     0.111
2370   @LiquidChap here's some dog asmr .  https://t....          0    0.0000     0.000    1.000     0.000
2371   Scream go hero but make it asmr 🥴 https://t.co...          0    0.1154     0.189    0.658     0.152
2372       @ameliadraperr asmr straight up pisses me off          0   -0.1280     0.204    0.538     0.258
2373   Sehun: brushing asmr\n"My special guest is viv...          0    0.4019     0.137    0.863     0.000
2374   Yixing: mundane tasks asmr\n"I have a lot of l...          0    0.0000     0.000    1.000     0.000
2375   Minseok: skincare asmr \n"Wow... your skin got...          0    0.2481     0.143    0.759     0.098
2376   Chanyeol: various sounds asmr \n"I found this ...          0    0.0000     0.000    1.000     0.000
2377   You'll find only the finest ASMR videos on my ...        533    0.0000     0.000    1.000     0.000
2378   #ASMR is a growing video trend for people who ...         78    0.7506     0.346    0.654     0.000
2379              atleast its not those eating asmr ones          0    0.0000     0.000    1.000     0.000
2380   kerrie listens to degradation asmr . am i rlly...          1   -0.3612     0.168    0.531     0.301
2381   I'm now making ASMR videos. Enjoy and relax ht...          0    0.7269     0.466    0.534     0.000
2382      @AidanRGallagher Aidan watches ASMR confirmed.          0    0.0000     0.000    1.000     0.000
2383                        @2019thoughts listen to asmr          0    0.0000     0.000    1.000     0.000
2384   i feel like ASMR is going to change the world ...          0    0.3612     0.185    0.815     0.000
2385   Noname &gt; Eminem. IDK how to describe her mu...          0    0.0943     0.127    0.764     0.109
2386   my uncle almost caught me doing asmr to his tu...          2    0.3612     0.161    0.839     0.000
2387   You ever VC with someone and they start eating...          0    0.2960     0.087    0.913     0.000
2388   *scratches nails on steering wheel* “ooouuu, t...          0    0.4404     0.182    0.818     0.000
2389   send me ur fav asmr channels NOW i need good s...          0    0.7096     0.396    0.604     0.000
2390   @antoni I’m gonna need you to start an ASMR ch...          0    0.0000     0.000    1.000     0.000
2391   I found I gay asmr channel I can't believe THI...          0    0.0000     0.000    1.000     0.000
2392   @FamKamASMR @AsmrMaya @Mekotsu Congrats!! Gett...          0    0.8164     0.483    0.517     0.000
2393   @taysjennie hdkdh I understand! I watch asmr s...          0   -0.6317     0.000    0.684     0.316
2394   Madmattr Layered Rainbow Star #satisfying #asm...          0    0.0000     0.000    1.000     0.000
2395         Asmr for communists https://t.co/27cPS5NKZ5          0    0.0000     0.000    1.000     0.000
2396                 asmr hits differently when its late          2    0.0000     0.000    1.000     0.000
2397            @imagineyonce talk me to sleep asmr king          2    0.0000     0.000    1.000     0.000
2398              Most asmr videos make me uncomfortable          0   -0.3818     0.000    0.658     0.342
2399   We need to work on getting Jack Blacks latest ...          0   -0.2960     0.000    0.916     0.084
2400   Troye Sivan Explores ASMR | W Magazine https:/...          0    0.0000     0.000    1.000     0.000
2401   what i look for in ASMR:\n- caring and support...          0    0.6124     0.273    0.657     0.071
2402   Hit next milestone. The next milestone is #pla...          0    0.0000     0.000    1.000     0.000
2403   @lolo_niccole TELL ME ABOUT IT. a slime accoun...          0   -0.6682     0.000    0.785     0.215
2404       @lovelyantariksa subscribe to my asmr channel          1    0.0000     0.000    1.000     0.000
2405   @Knight1ndustry I've learned that ASMR is a th...          1    0.0000     0.000    1.000     0.000
2406   Is now a good time to mention Dave Coulier gav...          0    0.6597     0.231    0.769     0.000
2407   is it weird that i actually like asmr?? it rea...         14    0.5794     0.360    0.528     0.112
2408   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
2409   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
2410   omg am going to do it in asmr brb https://t.co...         38    0.0000     0.000    1.000     0.000
2411      have you tried👋 🎳 ASMR https://t.co/b2swX3UDgV          2    0.0000     0.000    1.000     0.000
2412                           @Ahr_Ech Thats asmr to me          1    0.0000     0.000    1.000     0.000
2413                       @un_asmr sweet boy sweet baby          0    0.7184     0.667    0.333     0.000
2414   me doing asmr on facetime https://t.co/jHbY2C5i6a          0    0.0000     0.000    1.000     0.000
2415   ASMR Dog Reviewing Raw Meats! https://t.co/HUn...          0    0.0000     0.000    1.000     0.000
2416                 help im in love with this asmr lady          0    0.7845     0.535    0.465     0.000
2417                     what are ur opinions on ASMR ??          8    0.0000     0.000    1.000     0.000
2418   ASMR TAPPING &amp; TOUCHING THE GOLD BOX | No ...          0   -0.2960     0.000    0.901     0.099
2419   New post: ASMR Crinkles For Your Tingles | No ...          2   -0.2960     0.000    0.804     0.196
2420   New post: ASMR Scratching For Your Tingles | N...          0   -0.2960     0.000    0.804     0.196
2421   I'm so proud of YOU [ASMR by lumlumxx @manyvid...          1    0.5256     0.274    0.726     0.000
2422   @narukami_vs Sorry fam id rather watch your cl...          1   -0.0772     0.000    0.902     0.098
2423   hey @un_asmr !!!!!! it’s bumblebee (as you kno...          0    0.0000     0.000    1.000     0.000
2424                             asmr idea hair slurping          0    0.0000     0.000    1.000     0.000
2425   @_saysooo - looking at pics/vids of cats (no l...          0    0.0000     0.000    1.000     0.000
2426   (ASMR) Biohacking Roleplay With An Organic Glitch          0    0.0000     0.000    1.000     0.000
2427   You Will Feel Better In Under 10 Minutes To AS...          0   -0.3612     0.143    0.591     0.266
2428   ASMR (feat. Awkwafina) https://t.co/TGymSB0qJg...          0    0.4019     0.172    0.828     0.000
2429                          @cluelessval Queen of ASMR          0    0.0000     0.000    1.000     0.000
2430           @OldBookClub @AndrewQuackson Tradcon asmr          1    0.0000     0.000    1.000     0.000
2431   Listening to my brother eat reheated pizza tha...          1   -0.5719     0.070    0.767     0.164
2432   https://t.co/ww85d8EqDx @busybasmr is an aweso...          1    0.6249     0.227    0.773     0.000
2433   @iCon92_ I did asmr video thru them this morni...          1    0.0000     0.000    1.000     0.000
2434             Am I the only one obsessed with ASMR? 😂          1    0.2960     0.232    0.549     0.220
2435                   @109volts this is my kind of asmr          2    0.0000     0.000    1.000     0.000
2436   hotel california is like asmr to me idk i coul...          7    0.0000     0.185    0.630     0.185
2437   I just saw an asmr video of a girl mixing like...          0    0.3612     0.111    0.889     0.000
2438   A lovely compliment I got today has me wonderi...          7    0.7845     0.277    0.723     0.000
2439   @TheUnknownUsa Ear eating asmr is where it’s a...          0    0.0000     0.000    1.000     0.000
2440          ASMR Paper Rapping https://t.co/9pP5HBeuAP          1    0.0000     0.000    1.000     0.000
2441             Today I found out furry ASMR is a thing          8    0.0000     0.000    1.000     0.000
2442   50 send now for my stone crabs 😈👣#findom #mukb...          1    0.0000     0.000    1.000     0.000
2443   If you find asmr confusing (like I do) and you...          0    0.6705     0.281    0.646     0.072
2444   terezi pyrope eats dave striders hair straight...          2    0.2942     0.135    0.865     0.000
2445   This is the second video in the Marketplace AS...          0   -0.2960     0.000    0.905     0.095
2446   asmr: using scissors to scrape gum outta your ...          0    0.4939     0.176    0.824     0.000
2447   ASMR | Peeling Stickers off Microphone, Sticky...          0    0.0000     0.000    1.000     0.000
2448   Yes Bubba.  This ASMR video will defiantly hel...          2    0.8020     0.427    0.573     0.000
2449   @infinite_bagel tsudaken tells u to commit cri...          1   -0.0772     0.206    0.561     0.234
2450   okay so..... I'm into ASMR now. like i think i...          9    0.5267     0.306    0.694     0.000
2451   Best asmr. We really relaxed after that. https...          1    0.8268     0.562    0.438     0.000
2452   Do you like it when soap is crushed in your ha...          0   -0.1511     0.128    0.715     0.158
2453   okay but i love her speaking voice so much?? p...          1    0.8996     0.523    0.477     0.000
2454   @busybasmr say no more fam https://t.co/EaelEF...          6   -0.2960     0.000    0.694     0.306
2455   @RaisedByKingsGG There is legit no way u dont ...          1   -0.2960     0.000    0.896     0.104
2456   New Eraudica Exclusive - ASMR Layered Cock Wor...          1    0.2732     0.327    0.531     0.142
2457   asmr idea: antoni from queer eye comes to ur h...          1    0.3182     0.099    0.901     0.000
2458   Me breaking into your house ASMR https://t.co/...          5    0.0000     0.000    1.000     0.000
2459               Good evening  https://t.co/6JlzKHSh4U          0    0.4404     0.592    0.408     0.000
2460   Asmr videos are pretty annoying to me Idk why ...          1   -0.0553     0.211    0.537     0.252
2461   Risa’s thetye to watch xronchy ASMR  videos to...          1    0.2040     0.191    0.687     0.122
2462   Troye Sivan Explores ASMR | W Magazine https:/...          1    0.0000     0.000    1.000     0.000
2463   why did warning play in the middle of my and j...          2    0.0000     0.152    0.696     0.152
2464   Another vid sold! 4K Sloppy Sailor ASMR  POV B...          3    0.0000     0.000    1.000     0.000
2465   Does anyone else watch those asmr soap cutting...          8   -0.4291     0.075    0.686     0.240
2466   tf li and i are doing asmr shit at 11:40pm we’...          1   -0.5574     0.000    0.753     0.247
2467   Omg before Selena became an ASMR artist 😍😍 htt...          1    0.0000     0.000    1.000     0.000
2468   Could listen to this over &amp; over ! 💕 #ASMR...          0    0.0000     0.000    1.000     0.000
2469   my ASMR trigger a lot by watching an implemetn...          1   -0.3875     0.000    0.889     0.111
2470   @LiquidChap here's some dog asmr .  https://t....          0    0.0000     0.000    1.000     0.000
2471   Scream go hero but make it asmr 🥴 https://t.co...          0    0.1154     0.189    0.658     0.152
2472       @ameliadraperr asmr straight up pisses me off          0   -0.1280     0.204    0.538     0.258
2473   Sehun: brushing asmr\n"My special guest is viv...          0    0.4019     0.137    0.863     0.000
2474   Yixing: mundane tasks asmr\n"I have a lot of l...          0    0.0000     0.000    1.000     0.000
2475   Minseok: skincare asmr \n"Wow... your skin got...          0    0.2481     0.143    0.759     0.098
2476   You'll find only the finest ASMR videos on my ...        533    0.0000     0.000    1.000     0.000
2477   #ASMR is a growing video trend for people who ...         78    0.7506     0.346    0.654     0.000
2478              atleast its not those eating asmr ones          0    0.0000     0.000    1.000     0.000
2479   kerrie listens to degradation asmr . am i rlly...          2   -0.3612     0.168    0.531     0.301
2480   I'm now making ASMR videos. Enjoy and relax ht...          0    0.7269     0.466    0.534     0.000
2481      @AidanRGallagher Aidan watches ASMR confirmed.          0    0.0000     0.000    1.000     0.000
2482                        @2019thoughts listen to asmr          0    0.0000     0.000    1.000     0.000
2483   i feel like ASMR is going to change the world ...          0    0.3612     0.185    0.815     0.000
2484   Noname &gt; Eminem. IDK how to describe her mu...          0    0.0943     0.127    0.764     0.109
2485   my uncle almost caught me doing asmr to his tu...          2    0.3612     0.161    0.839     0.000
2486   You ever VC with someone and they start eating...          0    0.2960     0.087    0.913     0.000
2487   *scratches nails on steering wheel* “ooouuu, t...          0    0.4404     0.182    0.818     0.000
2488   send me ur fav asmr channels NOW i need good s...          0    0.7096     0.396    0.604     0.000
2489   @antoni I’m gonna need you to start an ASMR ch...          0    0.0000     0.000    1.000     0.000
2490   I found I gay asmr channel I can't believe THI...          0    0.0000     0.000    1.000     0.000
2491   @FamKamASMR @AsmrMaya @Mekotsu Congrats!! Gett...          0    0.8164     0.483    0.517     0.000
2492   @taysjennie hdkdh I understand! I watch asmr s...          0   -0.6317     0.000    0.684     0.316
2493   Madmattr Layered Rainbow Star #satisfying #asm...          0    0.0000     0.000    1.000     0.000
2494         Asmr for communists https://t.co/27cPS5NKZ5          0    0.0000     0.000    1.000     0.000
2495                 asmr hits differently when its late          2    0.0000     0.000    1.000     0.000
2496            @imagineyonce talk me to sleep asmr king          2    0.0000     0.000    1.000     0.000
2497              Most asmr videos make me uncomfortable          0   -0.3818     0.000    0.658     0.342
2498   We need to work on getting Jack Blacks latest ...          0   -0.2960     0.000    0.916     0.084
2499   Troye Sivan Explores ASMR | W Magazine https:/...          0    0.0000     0.000    1.000     0.000
2500   what i look for in ASMR:\n- caring and support...          0    0.6124     0.273    0.657     0.071
2501   Hit next milestone. The next milestone is #pla...          0    0.0000     0.000    1.000     0.000
2502   @lolo_niccole TELL ME ABOUT IT. a slime accoun...          0   -0.6682     0.000    0.785     0.215
2503       @lovelyantariksa subscribe to my asmr channel          1    0.0000     0.000    1.000     0.000
2504   @Knight1ndustry I've learned that ASMR is a th...          1    0.0000     0.000    1.000     0.000
2505   Is now a good time to mention Dave Coulier gav...          0    0.6597     0.231    0.769     0.000
2506   is it weird that i actually like asmr?? it rea...         14    0.5794     0.360    0.528     0.112
2507   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
2508   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
2509   omg am going to do it in asmr brb https://t.co...         39    0.0000     0.000    1.000     0.000
2510      have you tried👋 🎳 ASMR https://t.co/b2swX3UDgV          2    0.0000     0.000    1.000     0.000
2511                           @Ahr_Ech Thats asmr to me          1    0.0000     0.000    1.000     0.000
2512                       @un_asmr sweet boy sweet baby          0    0.7184     0.667    0.333     0.000
2513   me doing asmr on facetime https://t.co/jHbY2C5i6a          0    0.0000     0.000    1.000     0.000
2514   ASMR Dog Reviewing Raw Meats! https://t.co/HUn...          0    0.0000     0.000    1.000     0.000
2515                 help im in love with this asmr lady          0    0.7845     0.535    0.465     0.000
2516                     what are ur opinions on ASMR ??          8    0.0000     0.000    1.000     0.000
2517   ASMR TAPPING &amp; TOUCHING THE GOLD BOX | No ...          0   -0.2960     0.000    0.901     0.099
2518   New post: ASMR Crinkles For Your Tingles | No ...          2   -0.2960     0.000    0.804     0.196
2519   New post: ASMR Scratching For Your Tingles | N...          0   -0.2960     0.000    0.804     0.196
2520   I'm so proud of YOU [ASMR by lumlumxx @manyvid...          1    0.5256     0.274    0.726     0.000
2521   @narukami_vs Sorry fam id rather watch your cl...          1   -0.0772     0.000    0.902     0.098
2522   hey @un_asmr !!!!!! it’s bumblebee (as you kno...          0    0.0000     0.000    1.000     0.000
2523                             asmr idea hair slurping          0    0.0000     0.000    1.000     0.000
2524   @_saysooo - looking at pics/vids of cats (no l...          0    0.0000     0.000    1.000     0.000
2525   (ASMR) Biohacking Roleplay With An Organic Glitch          0    0.0000     0.000    1.000     0.000
2526   You Will Feel Better In Under 10 Minutes To AS...          0   -0.3612     0.143    0.591     0.266
2527   ASMR (feat. Awkwafina) https://t.co/TGymSB0qJg...          0    0.4019     0.172    0.828     0.000
2528                          @cluelessval Queen of ASMR          0    0.0000     0.000    1.000     0.000
2529           @OldBookClub @AndrewQuackson Tradcon asmr          1    0.0000     0.000    1.000     0.000
2530   Listening to my brother eat reheated pizza tha...          1   -0.5719     0.070    0.767     0.164
2531   https://t.co/ww85d8EqDx @busybasmr is an aweso...          1    0.6249     0.227    0.773     0.000
2532   @iCon92_ I did asmr video thru them this morni...          1    0.0000     0.000    1.000     0.000
2533             Am I the only one obsessed with ASMR? 😂          1    0.2960     0.232    0.549     0.220
2534                   @109volts this is my kind of asmr          2    0.0000     0.000    1.000     0.000
2535   hotel california is like asmr to me idk i coul...          7    0.0000     0.185    0.630     0.185
2536   I just saw an asmr video of a girl mixing like...          0    0.3612     0.111    0.889     0.000
2537   A lovely compliment I got today has me wonderi...          7    0.7845     0.277    0.723     0.000
2538   @TheUnknownUsa Ear eating asmr is where it’s a...          0    0.0000     0.000    1.000     0.000
2539          ASMR Paper Rapping https://t.co/9pP5HBeuAP          1    0.0000     0.000    1.000     0.000
2540             Today I found out furry ASMR is a thing          8    0.0000     0.000    1.000     0.000
2541   50 send now for my stone crabs 😈👣#findom #mukb...          1    0.0000     0.000    1.000     0.000
2542   If you find asmr confusing (like I do) and you...          0    0.6705     0.281    0.646     0.072
2543   terezi pyrope eats dave striders hair straight...          2    0.2942     0.135    0.865     0.000
2544   This is the second video in the Marketplace AS...          0   -0.2960     0.000    0.905     0.095
2545   asmr: using scissors to scrape gum outta your ...          0    0.4939     0.176    0.824     0.000
2546   ASMR | Peeling Stickers off Microphone, Sticky...          0    0.0000     0.000    1.000     0.000
2547   Yes Bubba.  This ASMR video will defiantly hel...          2    0.8020     0.427    0.573     0.000
2548   @infinite_bagel tsudaken tells u to commit cri...          1   -0.0772     0.206    0.561     0.234
2549   okay so..... I'm into ASMR now. like i think i...          9    0.5267     0.306    0.694     0.000
2550   Best asmr. We really relaxed after that. https...          1    0.8268     0.562    0.438     0.000
2551   Do you like it when soap is crushed in your ha...          0   -0.1511     0.128    0.715     0.158
2552   okay but i love her speaking voice so much?? p...          1    0.8996     0.523    0.477     0.000
2553   @busybasmr say no more fam https://t.co/EaelEF...          6   -0.2960     0.000    0.694     0.306
2554   @RaisedByKingsGG There is legit no way u dont ...          1   -0.2960     0.000    0.896     0.104
2555   New Eraudica Exclusive - ASMR Layered Cock Wor...          1    0.2732     0.327    0.531     0.142
2556   asmr idea: antoni from queer eye comes to ur h...          1    0.3182     0.099    0.901     0.000
2557   Me breaking into your house ASMR https://t.co/...          5    0.0000     0.000    1.000     0.000
2558               Good evening  https://t.co/6JlzKHSh4U          0    0.4404     0.592    0.408     0.000
2559   Asmr videos are pretty annoying to me Idk why ...          1   -0.0553     0.211    0.537     0.252
2560   Risa’s thetye to watch xronchy ASMR  videos to...          1    0.2040     0.191    0.687     0.122
2561   Troye Sivan Explores ASMR | W Magazine https:/...          1    0.0000     0.000    1.000     0.000
2562   why did warning play in the middle of my and j...          2    0.0000     0.152    0.696     0.152
2563   Another vid sold! 4K Sloppy Sailor ASMR  POV B...          3    0.0000     0.000    1.000     0.000
2564   Does anyone else watch those asmr soap cutting...          8   -0.4291     0.075    0.686     0.240
2565   tf li and i are doing asmr shit at 11:40pm we’...          1   -0.5574     0.000    0.753     0.247
2566   Omg before Selena became an ASMR artist 😍😍 htt...          1    0.0000     0.000    1.000     0.000
2567   Could listen to this over &amp; over ! 💕 #ASMR...          0    0.0000     0.000    1.000     0.000
2568   my ASMR trigger a lot by watching an implemetn...          1   -0.3875     0.000    0.889     0.111
2569   @LiquidChap here's some dog asmr .  https://t....          0    0.0000     0.000    1.000     0.000
2570   Scream go hero but make it asmr 🥴 https://t.co...          0    0.1154     0.189    0.658     0.152
2571       @ameliadraperr asmr straight up pisses me off          0   -0.1280     0.204    0.538     0.258
2572   Sehun: brushing asmr\n"My special guest is viv...          0    0.4019     0.137    0.863     0.000
2573   Yixing: mundane tasks asmr\n"I have a lot of l...          0    0.0000     0.000    1.000     0.000
2574   Minseok: skincare asmr \n"Wow... your skin got...          0    0.2481     0.143    0.759     0.098
2575   You'll find only the finest ASMR videos on my ...        533    0.0000     0.000    1.000     0.000
2576   #ASMR is a growing video trend for people who ...         78    0.7506     0.346    0.654     0.000
2577              atleast its not those eating asmr ones          0    0.0000     0.000    1.000     0.000
2578   kerrie listens to degradation asmr . am i rlly...          2   -0.3612     0.168    0.531     0.301
2579   I'm now making ASMR videos. Enjoy and relax ht...          0    0.7269     0.466    0.534     0.000
2580      @AidanRGallagher Aidan watches ASMR confirmed.          0    0.0000     0.000    1.000     0.000
2581                        @2019thoughts listen to asmr          0    0.0000     0.000    1.000     0.000
2582   i feel like ASMR is going to change the world ...          0    0.3612     0.185    0.815     0.000
2583   Noname &gt; Eminem. IDK how to describe her mu...          0    0.0943     0.127    0.764     0.109
2584   my uncle almost caught me doing asmr to his tu...          2    0.3612     0.161    0.839     0.000
2585   You ever VC with someone and they start eating...          0    0.2960     0.087    0.913     0.000
2586   *scratches nails on steering wheel* “ooouuu, t...          0    0.4404     0.182    0.818     0.000
2587   send me ur fav asmr channels NOW i need good s...          0    0.7096     0.396    0.604     0.000
2588   @antoni I’m gonna need you to start an ASMR ch...          0    0.0000     0.000    1.000     0.000
2589   I found I gay asmr channel I can't believe THI...          0    0.0000     0.000    1.000     0.000
2590   @FamKamASMR @AsmrMaya @Mekotsu Congrats!! Gett...          0    0.8164     0.483    0.517     0.000
2591   @taysjennie hdkdh I understand! I watch asmr s...          0   -0.6317     0.000    0.684     0.316
2592   Madmattr Layered Rainbow Star #satisfying #asm...          0    0.0000     0.000    1.000     0.000
2593         Asmr for communists https://t.co/27cPS5NKZ5          0    0.0000     0.000    1.000     0.000
2594                 asmr hits differently when its late          2    0.0000     0.000    1.000     0.000
2595            @imagineyonce talk me to sleep asmr king          2    0.0000     0.000    1.000     0.000
2596              Most asmr videos make me uncomfortable          0   -0.3818     0.000    0.658     0.342
2597   We need to work on getting Jack Blacks latest ...          0   -0.2960     0.000    0.916     0.084
2598   Troye Sivan Explores ASMR | W Magazine https:/...          0    0.0000     0.000    1.000     0.000
2599   what i look for in ASMR:\n- caring and support...          0    0.6124     0.273    0.657     0.071
2600   Hit next milestone. The next milestone is #pla...          0    0.0000     0.000    1.000     0.000
2601   @lolo_niccole TELL ME ABOUT IT. a slime accoun...          0   -0.6682     0.000    0.785     0.215
2602       @lovelyantariksa subscribe to my asmr channel          1    0.0000     0.000    1.000     0.000
2603   @Knight1ndustry I've learned that ASMR is a th...          1    0.0000     0.000    1.000     0.000
2604   Is now a good time to mention Dave Coulier gav...          0    0.6597     0.231    0.769     0.000
2605   is it weird that i actually like asmr?? it rea...         14    0.5794     0.360    0.528     0.112
2606   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
2607   @Chupetinha3224 @JackieOtario @k_sunflowercat ...          1    0.0000     0.000    1.000     0.000
2608   omg am going to do it in asmr brb https://t.co...         39    0.0000     0.000    1.000     0.000
2609      have you tried👋 🎳 ASMR https://t.co/b2swX3UDgV          2    0.0000     0.000    1.000     0.000
2610                           @Ahr_Ech Thats asmr to me          1    0.0000     0.000    1.000     0.000
2611                       @un_asmr sweet boy sweet baby          0    0.7184     0.667    0.333     0.000
2612   me doing asmr on facetime https://t.co/jHbY2C5i6a          0    0.0000     0.000    1.000     0.000
2613   ASMR Dog Reviewing Raw Meats! https://t.co/HUn...          0    0.0000     0.000    1.000     0.000
2614                 help im in love with this asmr lady          0    0.7845     0.535    0.465     0.000
2615                     what are ur opinions on ASMR ??          8    0.0000     0.000    1.000     0.000
2616   ASMR TAPPING &amp; TOUCHING THE GOLD BOX | No ...          0   -0.2960     0.000    0.901     0.099
2617   New post: ASMR Crinkles For Your Tingles | No ...          2   -0.2960     0.000    0.804     0.196
2618   New post: ASMR Scratching For Your Tingles | N...          0   -0.2960     0.000    0.804     0.196
2619   I'm so proud of YOU [ASMR by lumlumxx @manyvid...          1    0.5256     0.274    0.726     0.000
2620   @narukami_vs Sorry fam id rather watch your cl...          1   -0.0772     0.000    0.902     0.098
2621   hey @un_asmr !!!!!! it’s bumblebee (as you kno...          0    0.0000     0.000    1.000     0.000
2622                             asmr idea hair slurping          0    0.0000     0.000    1.000     0.000
2623   @_saysooo - looking at pics/vids of cats (no l...          0    0.0000     0.000    1.000     0.000
2624   (ASMR) Biohacking Roleplay With An Organic Glitch          0    0.0000     0.000    1.000     0.000
2625   You Will Feel Better In Under 10 Minutes To AS...          0   -0.3612     0.143    0.591     0.266
2626   ASMR (feat. Awkwafina) https://t.co/TGymSB0qJg...          0    0.4019     0.172    0.828     0.000
2627                          @cluelessval Queen of ASMR          0    0.0000     0.000    1.000     0.000
2628           @OldBookClub @AndrewQuackson Tradcon asmr          1    0.0000     0.000    1.000     0.000
2629   Listening to my brother eat reheated pizza tha...          1   -0.5719     0.070    0.767     0.164
2630   https://t.co/ww85d8EqDx @busybasmr is an aweso...          1    0.6249     0.227    0.773     0.000
2631   @iCon92_ I did asmr video thru them this morni...          1    0.0000     0.000    1.000     0.000
2632             Am I the only one obsessed with ASMR? 😂          1    0.2960     0.232    0.549     0.220
2633                   @109volts this is my kind of asmr          2    0.0000     0.000    1.000     0.000
2634   hotel california is like asmr to me idk i coul...          7    0.0000     0.185    0.630     0.185
2635   I just saw an asmr video of a girl mixing like...          0    0.3612     0.111    0.889     0.000
2636   A lovely compliment I got today has me wonderi...          7    0.7845     0.277    0.723     0.000
2637   @TheUnknownUsa Ear eating asmr is where it’s a...          0    0.0000     0.000    1.000     0.000
2638          ASMR Paper Rapping https://t.co/9pP5HBeuAP          1    0.0000     0.000    1.000     0.000
2639             Today I found out furry ASMR is a thing          8    0.0000     0.000    1.000     0.000
2640   50 send now for my stone crabs 😈👣#findom #mukb...          1    0.0000     0.000    1.000     0.000
2641   If you find asmr confusing (like I do) and you...          0    0.6705     0.281    0.646     0.072
2642   terezi pyrope eats dave striders hair straight...          2    0.2942     0.135    0.865     0.000
2643   This is the second video in the Marketplace AS...          0   -0.2960     0.000    0.905     0.095
2644   asmr: using scissors to scrape gum outta your ...          0    0.4939     0.176    0.824     0.000
2645   ASMR | Peeling Stickers off Microphone, Sticky...          0    0.0000     0.000    1.000     0.000
2646   Yes Bubba.  This ASMR video will defiantly hel...          2    0.8020     0.427    0.573     0.000
2647   @infinite_bagel tsudaken tells u to commit cri...          1   -0.0772     0.206    0.561     0.234
2648   okay so..... I'm into ASMR now. like i think i...          9    0.5267     0.306    0.694     0.000
2649   Best asmr. We really relaxed after that. https...          1    0.8268     0.562    0.438     0.000
2650   Do you like it when soap is crushed in your ha...          0   -0.1511     0.128    0.715     0.158
2651   okay but i love her speaking voice so much?? p...          1    0.8996     0.523    0.477     0.000
2652   @busybasmr say no more fam https://t.co/EaelEF...          6   -0.2960     0.000    0.694     0.306
2653   @RaisedByKingsGG There is legit no way u dont ...          1   -0.2960     0.000    0.896     0.104
2654   New Eraudica Exclusive - ASMR Layered Cock Wor...          1    0.2732     0.327    0.531     0.142
2655   asmr idea: antoni from queer eye comes to ur h...          1    0.3182     0.099    0.901     0.000
2656   Me breaking into your house ASMR https://t.co/...          5    0.0000     0.000    1.000     0.000
2657               Good evening  https://t.co/6JlzKHSh4U          0    0.4404     0.592    0.408     0.000
2658   Asmr videos are pretty annoying to me Idk why ...          1   -0.0553     0.211    0.537     0.252
2659   Risa’s thetye to watch xronchy ASMR  videos to...          1    0.2040     0.191    0.687     0.122
2660   Troye Sivan Explores ASMR | W Magazine https:/...          1    0.0000     0.000    1.000     0.000
2661   why did warning play in the middle of my and j...          2    0.0000     0.152    0.696     0.152
2662   Another vid sold! 4K Sloppy Sailor ASMR  POV B...          3    0.0000     0.000    1.000     0.000
